epoch,aapl_lstm,aapl_gru,aapl_cnn
0,0.0022366615012288,0.002308722352609,0.0314811281859874
1,0.0001700454449746,6.36398617643863e-05,0.0036699967458844
2,0.0002331166615476,6.32256778771989e-05,0.0010926381219178
3,0.000168688915437,6.251555896596983e-05,0.000977479154244
4,0.0001510243600932,6.041788947186433e-05,0.0008873268961906
5,0.0001474641321692,5.934184082434513e-05,0.0008179300930351
6,0.0001458499755244,6.669171125395223e-05,0.0007561134407296
7,0.0002516051172278,8.122718281811103e-05,0.0007079973001964
8,0.0001246997708221,6.349352770484984e-05,0.000673318223562
9,0.0001736307312967,6.518552982015535e-05,0.0006443983293138
10,0.0001333809632342,6.1418155382853e-05,0.0006101737380959
11,0.0001674427621765,6.043881512596272e-05,0.0005724367219954
12,0.0001287452469114,8.63097156980075e-05,0.0005293535068631
13,0.0001315058907493,6.645888788625598e-05,0.0004760123265441
14,0.0001342089526588,5.581342338700779e-05,0.0004351430397946
15,0.0001005538870231,5.869033702765592e-05,0.0004354289267212
16,0.000126860817545,8.18160260678269e-05,0.0003695568011607
17,0.0001174963399535,5.516544479178265e-05,0.000345938722603
18,0.0001099798391805,4.9527323426445946e-05,0.000321580300806
19,0.0001204713480547,5.404945477494039e-05,0.0003109368262812
20,0.0001204197105835,7.426074444083497e-05,0.0002914702636189
21,0.0001137999279308,5.142783265910112e-05,0.0002802939270623
22,0.0001163868946605,5.296929521136917e-05,0.0002680259640328
23,0.0001095024272217,7.713808008702472e-05,0.0002584394824225
24,7.788260700181127e-05,5.595375841949135e-05,0.0002501574927009
25,0.0001064230527845,4.761488162330352e-05,0.000241110989009
26,0.0001256104005733,5.3306270274333656e-05,0.0002340711071155
27,7.718960841884837e-05,5.501708437805064e-05,0.0002285758819198
28,7.840480247978121e-05,5.1281636842759326e-05,0.0002272970159538
29,7.29306775610894e-05,8.088626054814085e-05,0.0002230281534139
