epoch,amzn_lstm,amzn_gru,amzn_cnn
0,0.0050083384849131,0.0041735591366887,0.0168391726911067
1,0.0002943330036941,9.49292298173532e-05,0.0022889811079949
2,0.0003350668412167,9.612805297365412e-05,0.0017769167898222
3,0.0002911596384365,8.883059490472078e-05,0.0015494580147787
4,0.0002971436479128,9.072503598872572e-05,0.0013752472586929
5,0.0002519147237762,8.771414286457002e-05,0.0012645326787605
6,0.0002465858124196,8.932797936722636e-05,0.001173531753011
7,0.0002212751569459,8.095296652754769e-05,0.0011958801187574
8,0.0002362543891649,9.8793490906246e-05,0.0011833588359877
9,0.0002065525623038,8.394913311349228e-05,0.0010660431580618
10,0.0002146025653928,8.083044667728245e-05,0.0010886922245845
11,0.0001736181293381,8.660394814796746e-05,0.0010367492213845
12,0.0002103006117977,8.129562047543004e-05,0.0010126461274921
13,0.0001832247799029,8.247462392318994e-05,0.0009724971605464
14,0.000155437606736,0.0001016224705381,0.0009309675660915
15,0.0001523618266219,0.0001011194035527,0.000941461068578
16,0.0001591958134667,9.104183845920488e-05,0.0008367490954697
17,0.0001510450238129,8.128270565066487e-05,0.0006902188179083
18,0.0001650438061915,8.132860966725275e-05,0.000682997982949
19,0.0001340872549917,9.786339796846732e-05,0.0005419864901341
20,0.000137058988912,8.064785652095452e-05,0.0004930482245981
21,0.0001283039455302,9.735272033140065e-05,0.0004546135023701
22,0.0002067203458864,7.347704377025366e-05,0.0005132392980158
23,0.0001518092612968,9.506251808488742e-05,0.0004456435563042
24,0.0001592953776707,0.0001388357923133,0.0004002617788501
25,0.0001334493281319,9.24234846024774e-05,0.0004133494803681
26,0.0001215099327964,8.06996104074642e-05,0.0003729146847035
27,0.0001605722063686,8.120429265545681e-05,0.0003723317349795
28,0.0001168363087344,8.289804827654734e-05,0.0003512110561132
29,0.0001730052172206,0.0001388114760629,0.0003591384156607
